Date,Open,High,Low,Close,Vol,OI
3/25/09,1062.5,1076.9,1050.9,1070.7,145783,100247
3/26/09,1069.8,1081.5,1066.9,1074.9,106733,56234
3/27/09,1069.3,1071.6,1053.9,1058.1,93492,27630
3/30/09,1059.5,1067.4,1043.5,1050.4,56554,15050
3/31/09,1052,1059.6,1046.3,1057.7,80366,267164
4/1/09,1057.7,1068.5,1051.3,1060.4,71210,268448
4/2/09,1061.8,1064.5,1028.8,1041.6,139786,260742
4/3/09,1037.7,1044.5,1025.2,1030,90150,254508
4/6/09,1030.7,1032.2,997.7,1005.5,106677,244823
4/7/09,1002.8,1019.6,1002.8,1016,63383,244697
4/8/09,1017.3,1024.4,1011.9,1018.6,66212,234870
4/9/09,1015.3,1020.5,1008.7,1016,50957,233563
4/13/09,1015.6,1033.9,1015.6,1028.5,46375,236642
4/14/09,1026.9,1032.4,1019.8,1024.7,53533,236614
4/15/09,1023.9,1034.8,1018.9,1026.2,51256,235191
4/16/09,1025.7,1027.7,1005.7,1012.5,75315,238878
4/17/09,1009.6,1010.6,998.3,1000.6,65105,238355
4/20/09,1002.9,1022.4,998.3,1020.2,71171,235341
4/21/09,1019.2,1029.1,1012.2,1015.4,66853,234853
4/22/09,1017.5,1027.5,1015.5,1025.2,53357,231673
4/23/09,1024,1043.1,1023.2,1039.3,83668,239308
4/24/09,1038.2,1048.1,1036.9,1046.8,64993,241184
4/27/09,1047.7,1052.4,1038.5,1040.9,57010,240320
4/28/09,1039.9,1040.4,1017.3,1026.3,74402,237770
4/29/09,1026.7,1036.7,1021,1033.2,58707,227158
4/30/09,1031.3,1033.5,1012.8,1023.9,74181,224032
5/1/09,1023.9,1023.9,1013.2,1020.9,42772,224666
5/4/09,1020.2,1041,1018.3,1034.9,79286,223822
5/5/09,1036.1,1049.4,1025.9,1037,81782,226421
5/6/09,1030,1046.2,1028.1,1043.7,77234,220339
5/7/09,1045.2,1059.2,1041.6,1048.2,112692,222222
5/8/09,1044.4,1053.7,1038.2,1047.6,77079,210589
5/11/09,1049.7,1051.1,1041.5,1046.2,52605,205608
5/12/09,1046.6,1057.6,1045.1,1056.6,83546,203121
5/13/09,1056,1064.1,1050.5,1058.6,101021,193433
5/14/09,1059.7,1062.1,1053.2,1061.1,64247,186413
5/15/09,1059.6,1067.5,1056.8,1064,80409,180760
5/18/09,1063.2,1066.8,1047.9,1054.4,90197,169438
5/19/09,1050.9,1062.6,1050.3,1059.4,74108,160060
5/20/09,1058.3,1073.7,1058,1070.1,102721,149409
5/21/09,1071.2,1089.7,1068.5,1083.9,113277,144074
5/22/09,1087.8,1095.8,1082.8,1091.6,95822,131288
5/26/09,1091.6,1092.8,1069.3,1086,146270,88229
5/27/09,1086,1092.3,1078.9,1086,134344,38139
5/28/09,1081.3,1097.6,1076.7,1094.2,68178,9618
5/29/09,1091.8,1113,1091.4,1111.3,93279,251102
6/1/09,1111.3,1121.2,1105.1,1108,87811,249056
6/2/09,1107.9,1119.3,1101.5,1115.4,84885,249603
6/3/09,1114.2,1123.1,1092.5,1096.6,121386,253578
6/4/09,1095,1114.4,1093,1113.3,108788,260305
6/5/09,1112.4,1116,1084.8,1093.6,144411,248688
6/8/09,1087.3,1092.1,1074.8,1083.5,89406,251367
6/9/09,1082.8,1095.5,1079.3,1085.7,85285,245924
6/10/09,1086.8,1097.7,1078.6,1085.7,102920,246057
6/11/09,1086.6,1094.2,1073.5,1093,103751,244696
6/12/09,1087.3,1090.2,1067.2,1071.7,96007,238537
6/15/09,1071.3,1071.3,1057.5,1058.5,84361,230681
6/16/09,1059.8,1071.6,1058.7,1063.2,72122,229487
6/17/09,1066.4,1072.1,1059.4,1067,81693,230695
6/18/09,1071,1075,1061.5,1065.6,75089,231344
6/19/09,1065,1070.7,1062.5,1067.2,55622,229514
6/22/09,1066.1,1066.6,1049.3,1052,88649,229664
6/23/09,1053.5,1058.4,1044.2,1055.3,85898,225733
6/24/09,1057.4,1075.4,1053.8,1065.4,109795,230888
6/25/09,1063,1071.4,1061.3,1070.5,69191,231809
6/26/09,1071.1,1080,1067.6,1072,68886,230171
6/29/09,1071.7,1074.2,1064.6,1071.7,54933,228715
6/30/09,1069.1,1076.4,1053.7,1058.4,97452,227294
7/1/09,1058.4,1078,1057.1,1072.3,92106,225276
7/2/09,1071.9,1073.1,1057.6,1062,83505,223707
7/3/09,1059.8,1065.3,1058.8,1062,10856,225276
7/6/09,1063,1063.3,1051.3,1055.3,63107,215862
7/7/09,1055.6,1063.4,1052,1060.1,72366,212364
7/8/09,1055.1,1056.9,1035.8,1040.3,116351,208637
7/9/09,1040.3,1049.9,1037.2,1047.2,80090,197320
7/10/09,1043.1,1046.2,1037.6,1043.5,66982,192616
7/13/09,1043.3,1054.4,1038.4,1053.5,91809,189583
7/14/09,1052.2,1058.8,1048.8,1053.8,78528,184837
7/15/09,1056.4,1073.3,1055.5,1070.4,107978,181265
7/16/09,1070.3,1071.5,1063.6,1066.4,56379,179942
7/17/09,1068.8,1070.8,1062.6,1068.5,57044,173052
7/20/09,1069.5,1086.4,1068,1079.8,99186,174335
7/21/09,1080.8,1084.8,1075.3,1077.9,71932,167590
7/22/09,1079.9,1086,1075.6,1084.3,84869,160964
7/23/09,1083.7,1088.5,1078.2,1085.8,105538,137931
7/24/09,1079,1085.4,1077.6,1084.1,67568,121856
7/27/09,1082.4,1091,1078.8,1084.5,94882,95619
7/28/09,1084.6,1087.8,1064.8,1070.1,151591,53513
7/29/09,1068.8,1071.9,1056.2,1058.2,119565,19334
7/30/09,1060.2,1068,1059.4,1065.9,34194,7225
7/31/09,1065.7,1088.6,1062.4,1084.4,94940,247041
8/3/09,1083.1,1095.5,1082.9,1087.4,86045,253693
8/4/09,1088.6,1101.3,1081.7,1098.3,86147,264438
8/5/09,1098.9,1099.4,1089.7,1094.9,74804,265976
8/6/09,1093.6,1102.9,1086.8,1091.5,99425,269453
8/7/09,1093.8,1096.6,1084.1,1088.1,83179,271606
8/10/09,1085.2,1087.9,1072.8,1075.5,74188,263658
8/11/09,1077,1080.5,1072.2,1076.2,48246,262253
8/12/09,1077.2,1083,1070.7,1081.1,62074,263939
8/13/09,1078.6,1091.7,1078.4,1085.1,67160,263804
8/14/09,1085.3,1090,1072.3,1077.3,73720,260599
8/17/09,1077.8,1079,1059.9,1064.4,84955,251616
8/18/09,1063.6,1070.2,1063.6,1067.8,47798,249064
8/19/09,1068.8,1075.4,1061.9,1073.4,76182,249992
8/20/09,1072.8,1075.9,1067.1,1070.3,49569,247358
8/21/09,1070.5,1088.5,1067.8,1083.3,83173,259226
